,word,frequency
0,SPEECH,1
1,CHIEF,13
2,EXECUTIVE,13
3,DELIVERING,1
4,THE,31
5,S,48
6,2018,4
7,POLICY,32
8,ADDRESS,22
9,LEGISLATIVE,6
10,COUNCIL,5
11,MR,3
12,PRESIDENT,2
13,HONOURABLE,2
14,MEMBERS,11
15,FELLOW,2
16,CITIZENS,4
17,TODAY,4
18,I,52
19,PRESENT,5
20,SECOND,2
21,TERM,17
22,OFFICE,7
23,LEGCO,6
24,AS,8
25,YEAR,23
26,PREFER,1
27,SHARING,4
28,HONG,51
29,KONG,51
30,PEOPLE,21
31,GOVERNANCE,4
32,PHILOSOPHY,2
33,HIGHLIGHTING,1
34,SPECIFIC,2
35,MEASURES,11
36,READING,1
37,2,3
38,TITLED,1
39,STRIVING,2
40,AHEAD,4
41,REKINDLING,2
42,HOPE,8
43,RUNS,1
44,ROUGHLY,1
45,40,3
46,000,7
47,WORDS,2
48,IT,5
49,COMPREHENSIVELY,1
50,COVERS,2
51,AREAS,6
52,GOOD,6
53,HOUSING,35
54,LAND,22
55,DIVERSIFIED,1
56,ECONOMY,10
57,NURTURING,2
58,TALENT,2
59,IMPROVING,4
60,LIVELIHOOD,8
61,LIVEABLE,1
62,CITY,3
63,CONNECTING,2
64,YOUNG,2
65,READ,1
66,BETTER,5
67,GRASP,1
68,CURRENT,14
69,SITUATION,1
70,GOVERNMENT,60
71,RESPONSES,1
72,VARIOUS,10
73,SOCIAL,3
74,ISSUES,6
75,BUILDING,5
76,SPECIAL,2
77,ADMINISTRATIVE,3
78,REGION,2
79,HKSAR,9
80,UNIQUE,1
81,STRENGTHS,3
82,ONE,4
83,COUNTRY,9
84,TWO,1
85,SYSTEMS,1
86,COMBINING,1
87,UNFLAGGING,1
88,EFFORTS,8
89,ASSUMING,2
90,1,6
91,JULY,1
92,CARRIES,1
93,UNSWERVING,1
94,DETERMINATION,4
95,LEADING,2
96,STRIVE,2
97,FORWARD,6
98,WHILE,2
99,SERVE,2
100,JUST,4
101,PURPOSE,3
102,3,5
103,REFLECTS,1
104,EXPERIENCE,3
105,ASSUMED,2
106,IN,15
107,PAST,3
108,POLITICAL,5
109,TEAM,3
110,TAKEN,1
111,PRAGMATIC,1
112,APPROACH,3
113,CARE,11
114,LISTEN,2
115,ACT,4
116,INNOVATIVE,1
117,INTERACTIVE,1
118,COLLABORATIVE,2
119,IMPLEMENTING,2
120,INITIATIVES,12
121,PROACTIVELY,3
122,FROM,2
123,ENHANCING,5
124,POSITION,1
125,FINANCIAL,5
126,CENTRE,2
127,INCLUDES,1
128,REVISION,3
129,LISTING,1
130,REGULATIONS,1
131,APPLICATION,3
132,TECHNOLOGIES,3
133,FINTECH,1
134,FORGING,2
135,DEVELOPMENT,27
136,INNOVATION,1
137,TECHNOLOGY,2
138,T,5
139,ESTABLISHMENT,1
140,CLUSTERS,1
141,HEALTHCARE,4
142,ARTIFICIAL,2
143,INTELLIGENCE,1
144,ROBOTICS,1
145,OUTCOMES,1
146,REMARKABLE,3
147,ALL,2
148,TESTIMONIES,1
149,BELIEF,2
150,RUNNING,1
151,OUTSTANDING,3
152,FOUNDATIONS,1
153,SOLID,1
154,LONG,6
155,STAND,3
156,UNITED,2
157,REMAIN,3
158,FOCUSED,1
159,DOUBT,1
160,SCALE,1
161,NEW,23
162,HEIGHTS,2
163,4,4
164,MY,5
165,REALISATION,3
166,PERFECT,1
167,SOLUTION,1
168,WORLD,6
169,DIFFICULT,2
170,FORGE,2
171,ABSOLUTE,1
172,CONSENSUS,2
173,COMMUNITY,11
174,DIVERGENCE,1
175,VIEWS,5
176,OBSTACLE,1
177,MAKE,4
178,PROGRESS,2
179,IMPORTANTLY,1
180,BRING,3
181,STANDSTILL,1
182,WE,11
183,SPENT,1
184,LOT,1
185,ROUNDS,1
186,PUBLIC,24
187,CONSULTATIONS,1
188,SUPPLY,11
189,OPTIONS,3
190,ABOLITION,3
191,OFFSETTING,4
192,ARRANGEMENT,5
193,MANDATORY,1
194,PROVIDENT,1
195,FUND,1
196,MPF,2
197,SCHEME,14
198,HIGH,2
199,TIME,4
200,DECIDE,1
201,PROCEED,1
202,DISCUSSIONS,2
203,PROCRASTINATION,1
204,GREATER,8
205,SUFFERINGS,1
206,FAMILIES,3
207,LIVING,2
208,POOR,1
209,OVERCROWDED,1
210,ENVIRONMENT,9
211,PARTICULAR,2
212,CHILDREN,4
213,GRASS,1
214,ROOTS,1
215,WORKERS,1
216,NEED,4
217,RETIREMENT,1
218,PROTECTION,2
219,5,2
220,COMPANIONS,2
221,INCLUSIVE,2
222,HARBOUR,4
223,UNREALISTIC,1
224,WISH,1
225,PARTIES,3
226,SHARE,2
227,STANCE,1
228,PRINCIPLE,3
229,COMPROMISED,1
230,PLENTY,1
231,ROOM,1
232,COLLABORATION,1
233,A,4
234,CASE,1
235,POINT,1
236,VISIT,1
237,CROSS,2
238,PARTY,1
239,DELEGATION,1
240,MAINLAND,2
241,CITIES,3
242,GUANGDONG,1
243,MACAO,2
244,BAY,6
245,AREA,9
246,ARRANGED,1
247,EARLY,1
248,EXAMPLE,3
249,DEALING,1
250,SIMPLE,1
251,ONES,1
252,ADOPTED,2
253,PRESENTING,1
254,FUNDING,2
255,ITEMS,1
256,CONSULTATION,1
257,LEGISLATORS,1
258,DIFFERENT,4
259,END,6
260,SESSION,3
261,THIS,3
262,HELPED,1
263,REDUCE,2
264,CONFRONTATION,1
265,CONTRIBUTED,1
266,SMOOTH,1
267,PASSAGE,3
268,BENEFIT,2
269,6,2
270,SWIFTLY,2
271,BOLDLY,1
272,MATTERS,1
273,CLEARLY,2
274,PROPOSE,6
275,TOTAL,6
276,BAN,1
277,ELECTRONIC,2
278,CIGARETTES,1
279,PROTECTING,1
280,HEALTH,2
281,PARTICULARLY,2
282,TEENAGERS,1
283,ACTIVELY,2
284,PROMOTE,3
285,PRIMARY,3
286,SERVICES,6
287,CHANGE,2
288,TREATMENT,1
289,ORIENTED,1
290,PROVIDE,6
291,RESOURCES,13
292,RESEARCH,3
293,R,3
294,D,1
295,ENHANCE,9
296,CAPABILITY,1
297,SUPPORTING,2
298,INTERNATIONAL,6
299,BIG,1
300,STRIDES,1
301,CLEAR,1
302,OBJECTIVES,2
303,7,3
304,THESE,3
305,REALISATIONS,1
306,ADDED,1
307,PERSONAL,1
308,TOUCH,1
309,FACT,2
310,PARTS,1
311,REFLECT,2
312,PRESENTED,2
313,SECTORS,7
314,THANK,3
315,COLLEAGUES,1
316,RANKS,1
317,CIVIL,2
318,SERVICE,5
319,EXEMPLARY,1
320,DEDICATION,1
321,PROGRESSIVE,1
322,ATTITUDE,1
323,SEEKING,1
324,EMBRACING,1
325,8,4
326,ADVOCATED,2
327,STYLE,1
328,PLAYING,1
329,ROLES,2
330,FACILITATOR,2
331,PROMOTER,2
332,RECEIVED,4
333,WIDE,3
334,RECOGNITION,2
335,BUREAUX,2
336,DEPARTMENTS,2
337,PROACTIVE,1
338,HANDLING,2
339,ECONOMIC,13
340,REFLECTED,1
341,240,1
342,AGENDA,1
343,9,1
344,SOME,2
345,ASK,1
346,PROACTIVENESS,1
347,DEVIATE,2
348,MARKET,3
349,UPHELD,2
350,ANSWER,5
351,COMPETITIVENESS,3
352,LIKE,3
353,BOAT,1
354,SAILING,1
355,ORDER,6
356,DRIVEN,1
357,RESPONSIBILITY,5
358,SUPPORT,14
359,EXPLORE,2
360,BUSINESS,3
361,OPPORTUNITIES,5
362,ENTERPRISES,4
363,LOCALLY,1
364,OVERSEAS,2
365,ENGAGE,1
366,INTERACTIONS,1
367,10,2
368,INTRODUCED,3
369,FISCAL,3
370,TAX,1
371,CONCESSIONS,1
372,ALLOCATE,3
373,ALLEVIATE,2
374,BURDENS,2
375,NURTURE,1
376,SECRETARY,3
377,BUDGET,3
378,BROAD,1
379,RANGE,1
380,BENEFITS,4
381,EARMARKED,4
382,388,1
383,BILLION,10
384,INVESTMENT,3
385,FUTURE,5
386,11,1
387,QUESTION,5
388,ALLOCATING,1
389,ROBUSTLY,1
390,IMPROVE,7
391,PRINCIPLES,1
392,PRUDENCE,1
393,KEEPING,1
394,EXPENDITURE,3
395,LIMITS,1
396,REVENUES,1
397,EMBARKING,1
398,ROAD,2
399,WELFARE,2
400,SOCIETY,10
401,WITH,3
402,AMPLE,1
403,RESERVES,1
404,USE,3
405,DERIVED,1
406,INVEST,2
407,RELIEVE,1
408,ENABLE,3
409,WALKS,2
410,LIFE,5
411,FRUITS,2
412,GROWTH,3
413,12,2
414,RULE,3
415,LAW,9
416,IMPORTANT,4
417,CORE,1
418,VALUE,2
419,INDEPENDENCE,3
420,JUDICIARY,3
421,KEY,2
422,EMBODYING,1
423,LET,2
424,REITERATE,1
425,BEHAVIOUR,1
426,ARISING,1
427,DISAPPOINTMENT,1
428,CERTAIN,2
429,COURT,2
430,VERDICTS,1
431,INCLUDING,5
432,UNREASONABLE,1
433,ATTACKS,1
434,JUDICIAL,3
435,INTERFERENCE,1
436,POWER,1
437,VERBAL,1
438,INSULTS,1
439,JUDGES,2
440,TOTALLY,1
441,UNACCEPTABLE,1
442,DETRIMENTAL,1
443,SPIRIT,2
444,JURISDICTION,1
445,JUSTICE,1
446,FINAL,1
447,APPEAL,1
448,GEOFFREY,1
449,MA,1
450,TAO,1
451,LI,1
452,POINTED,1
453,CEREMONIAL,1
454,OPENING,2
455,LEGAL,2
456,CRITICISMS,1
457,LEVELLED,1
458,INFORMED,1
459,BASIS,2
460,COURTS,1
461,CONCERNED,2
462,ARISE,1
463,DISPUTES,1
464,DETERMINED,2
465,RELEVANT,4
466,CONSTITUTIONAL,3
467,DUTY,1
468,ADJUDICATE,1
469,REFERENCE,2
470,REMAINS,1
471,STRONG,2
472,RESPECTED,1
473,VISIBLE,1
474,13,1
475,RESPECTS,1
476,FUNCTIONS,1
477,EXERCISE,1
478,CHECKS,1
479,BALANCES,1
480,AUTHORITIES,1
481,UPON,2
482,PROPOSAL,1
483,COMMITTEE,1
484,RULES,1
485,PROCEDURE,1
486,ATTENDING,1
487,MONTHLY,3
488,QUESTIONS,2
489,SHORT,5
490,FORMAT,1
491,ADDITION,3
492,Q,3
493,HELD,2
494,TIMES,4
495,2017,2
496,18,3
497,ATTENDED,2
498,SESSIONS,2
499,SEVEN,1
500,RESPONDED,1
501,139,1
502,STRENGTHEN,5
